county,waste_treatment,so2,pm2.5,年齡標準化發生率.WHO.2000世界標準人口.(每10萬人口),癌症發生數,平均年齡,年齡中位數,cancer,industrial
南投縣,93.40499999999999,2.4616666666666664,26.0,30.911666666666665,283.5,68.38833333333334,69.16666666666667,55.913333333333334,28.331666666666667
嘉義市,100.0,3.315,29.416666666666668,39.36,168.0,67.26,67.0,62.23833333333334,25.861666666666668
嘉義縣,100.0,2.9250000000000003,26.116666666666664,38.26166666666666,393.5,69.64666666666666,70.83333333333333,76.05833333333334,32.53333333333333
基隆市,100.0,2.4433333333333334,16.3,36.788333333333334,231.5,67.80666666666667,68.0,62.195,28.723333333333333
宜蘭縣,100.0,2.8233333333333337,16.066666666666666,39.41166666666667,315.3333333333333,69.30166666666666,71.16666666666667,68.93833333333333,31.09166666666667
屏東縣,99.97666666666667,2.3766666666666665,18.716666666666665,32.85166666666667,483.6666666666667,67.62333333333333,67.66666666666667,57.699999999999996,31.593333333333334
彰化縣,99.83,3.59,24.733333333333334,40.545,851.3333333333334,68.16,69.5,66.14999999999999,47.54833333333334
新北市,100.0,3.065,18.85,39.830000000000005,2332.3333333333335,66.02833333333332,65.83333333333333,58.651666666666664,35.34666666666667
新竹市,100.0,2.5216666666666665,20.383333333333333,37.531666666666666,221.5,66.07333333333334,66.66666666666667,50.69166666666666,42.236666666666665
新竹縣,96.03333333333335,2.638333333333333,18.166666666666668,33.151666666666664,255.33333333333334,66.365,67.16666666666667,46.800000000000004,51.61833333333333
桃園市,98.46499999999999,3.391666666666667,21.133333333333333,35.935,1019.1666666666666,66.53666666666668,66.33333333333333,47.80666666666667,45.99333333333333
澎湖縣,99.94833333333334,1.9633333333333332,16.616666666666667,31.618333333333336,55.833333333333336,68.40833333333333,68.33333333333333,54.34166666666667,21.395
臺中市,99.585,2.965,24.316666666666666,37.615,1438.3333333333333,65.98333333333333,65.66666666666667,52.15,39.52
臺北市,100.0,2.811666666666667,15.333333333333334,36.79,1737.8333333333333,67.72666666666667,67.83333333333333,64.61333333333333,18.955000000000002
臺南市,100.0,3.605,26.833333333333332,38.083333333333336,1180.1666666666667,67.38666666666667,68.0,62.60999999999999,41.91166666666667
臺東縣,99.63833333333334,1.2883333333333333,9.716666666666667,36.63166666666667,143.5,68.96166666666667,69.58333333333333,64.71166666666666,19.94666666666667
花蓮縣,97.45666666666666,1.6983333333333333,11.5,33.10166666666667,186.66666666666666,67.5,68.0,56.37166666666667,23.81833333333333
苗栗縣,99.995,2.518333333333333,20.46666666666667,31.558333333333334,300.0,68.66333333333334,69.66666666666667,53.67166666666666,47.251666666666665
連江縣,98.005,2.985,22.900000000000002,28.718333333333334,5.333333333333333,66.70666666666666,66.25,41.964999999999996,19.224999999999998
金門縣,98.17333333333333,4.37,28.083333333333332,16.705000000000002,35.333333333333336,69.18333333333334,69.75,26.816666666666666,25.275000000000002
雲林縣,93.39833333333333,3.035,30.099999999999998,38.21,489.6666666666667,68.47833333333334,69.66666666666667,70.24,33.75333333333333
高雄市,100.0,3.516666666666667,21.349999999999998,36.333333333333336,1613.6666666666667,66.45666666666666,66.33333333333333,58.09166666666667,36.04833333333333
